timestamp,reqNum,,
1543750964,1,,0
1543750969,1,,5
1543750970,1,,6
1543750973,1,,9
1543750975,1,,11
1543750976,10,,12
1543750977,10,,13
1543750978,12,,14
1543750979,12,,15
1543750980,11,,16
1543750981,13,,17
1543750982,12,,18
1543750983,12,,19
1543750984,13,,20
1543750985,12,,21
1543750986,13,,22
1543750987,12,,23
1543750988,12,,24
1543750989,12,,25
1543750990,13,,26
1543750991,12,,27
1543750992,13,,28
1543750993,13,,29
1543750994,12,,30
1543750995,14,,31
1543750996,13,,32
1543750997,12,,33
1543750998,13,,34
1543750999,14,,35
1543751000,12,,36
1543751001,12,,37
1543751002,13,,38
1543751003,13,,39
1543751004,13,,40
1543751005,12,,41
1543751006,13,,42
1543751007,13,,43
1543751008,12,,44
1543751009,13,,45
1543751010,12,,46
1543751011,13,,47
1543751012,13,,48
1543751013,13,,49
1543751014,13,,50
1543751015,12,,51
1543751016,13,,52
1543751017,13,,53
1543751018,14,,54
1543751019,13,,55
1543751020,12,,56
1543751021,13,,57
1543751022,13,,58
1543751023,13,,59
1543751024,12,,60
1543751025,13,,61
1543751026,12,,62
1543751027,12,,63
1543751028,13,,64
1543751029,12,,65
1543751030,13,,66
1543751031,13,,67
1543751032,13,,68
1543751033,13,,69
1543751034,14,,70
1543751035,13,,71
1543751036,12,,72
1543751037,13,,73
1543751038,13,,74
1543751039,13,,75
1543751040,13,,76
1543751041,14,,77
1543751042,13,,78
1543751043,12,,79
1543751044,13,,80
1543751045,13,,81
1543751046,12,,82
1543751047,13,,83
1543751048,13,,84
1543751049,13,,85
1543751050,13,,86
1543751051,12,,87
1543751052,13,,88
1543751053,13,,89
1543751054,11,,90
1543751055,13,,91
1543751056,12,,92
1543751057,7,,93
1543751058,12,,94
1543751059,13,,95
1543751060,12,,96
1543751061,13,,97
1543751062,12,,98
1543751063,13,,99
1543751064,13,,100
1543751065,13,,101
1543751066,13,,102
1543751067,13,,103
1543751068,14,,104
1543751069,12,,105
1543751070,13,,106
1543751071,13,,107
1543751072,13,,108
1543751073,13,,109
1543751074,13,,110
1543751075,13,,111
1543751076,13,,112
1543751077,13,,113
1543751078,13,,114
1543751079,14,,115
1543751080,13,,116
1543751081,12,,117
1543751082,13,,118
1543751083,14,,119
1543751084,12,,120
1543751085,13,,121
1543751086,12,,122
1543751087,12,,123
1543751088,14,,124
1543751089,13,,125
1543751090,12,,126
1543751091,12,,127
1543751092,13,,128
1543751093,12,,129
1543751094,17,,130
1543751095,13,,131
1543751096,13,,132
1543751097,23,,133
1543751098,32,,134
1543751099,46,,135
1543751100,48,,136
1543751101,34,,137
1543751102,20,,138
1543751103,9,,139
1543751104,14,,140
1543751105,16,,141
1543751106,8,,142
1543751107,10,,143
1543751108,42,,144
1543751109,58,,145
1543751110,64,,146
1543751111,60,,147
1543751112,57,,148
1543751113,62,,149
1543751114,65,,150
1543751115,60,,151
1543751116,64,,152
1543751117,65,,153
1543751118,67,,154
1543751119,66,,155
1543751120,65,,156
1543751121,53,,157
1543751122,65,,158
1543751123,64,,159
1543751124,66,,160
1543751125,67,,161
1543751126,64,,162
1543751127,65,,163
1543751128,66,,164
1543751129,62,,165
1543751130,65,,166
1543751131,63,,167
1543751132,66,,168
1543751133,52,,169
1543751134,64,,170
1543751135,63,,171
1543751136,63,,172
1543751137,66,,173
1543751138,67,,174
1543751139,63,,175
1543751140,65,,176
1543751141,64,,177
1543751142,65,,178
1543751143,66,,179
1543751144,67,,180
1543751145,66,,181
1543751146,63,,182
1543751147,69,,183
1543751148,69,,184
1543751149,49,,185
1543751150,66,,186
1543751151,70,,187
1543751152,64,,188
1543751153,70,,189
1543751154,66,,190
1543751155,69,,191
1543751156,68,,192
1543751157,67,,193
1543751158,34,,194
1543751159,53,,195
1543751160,47,,196
1543751161,62,,197
1543751162,57,,198
1543751163,60,,199
1543751164,52,,200
1543751165,56,,201
1543751166,39,,202
1543751167,44,,203
1543751168,43,,204
1543751169,43,,205
1543751170,41,,206
1543751171,29,,207
1543751172,15,,208
1543751174,6,,210
1543751175,44,,211
1543751176,40,,212
1543751177,49,,213
1543751178,56,,214
1543751179,46,,215
1543751180,36,,216
1543751181,56,,217
1543751182,62,,218
1543751183,60,,219
1543751184,55,,220
1543751185,49,,221
1543751186,39,,222
1543751187,56,,223
1543751188,57,,224
1543751189,63,,225
1543751190,52,,226
1543751191,63,,227
1543751192,45,,228
1543751193,45,,229
1543751194,39,,230
1543751195,40,,231
1543751196,40,,232
1543751197,53,,233
1543751198,47,,234
1543751199,43,,235
1543751200,50,,236
1543751201,51,,237
1543751202,37,,238
1543751203,47,,239
1543751204,61,,240
1543751205,50,,241
1543751206,55,,242
1543751207,46,,243
1543751208,45,,244
1543751209,51,,245
1543751210,57,,246
1543751211,57,,247
1543751212,46,,248
1543751213,56,,249
1543751214,42,,250
1543751215,24,,251
1543751216,65,,252
1543751217,66,,253
1543751218,66,,254
1543751219,70,,255
1543751220,61,,256
1543751221,70,,257
1543751222,70,,258
1543751223,69,,259
1543751224,66,,260
1543751225,70,,261
1543751226,71,,262
1543751227,69,,263
1543751228,64,,264
1543751229,61,,265
1543751230,68,,266
1543751231,69,,267
1543751232,59,,268
1543751233,46,,269
1543751234,38,,270
1543751235,41,,271
1543751236,49,,272
1543751237,48,,273
1543751238,51,,274
1543751239,58,,275
1543751240,52,,276
1543751241,65,,277
1543751242,64,,278
1543751243,62,,279
1543751244,58,,280
1543751245,66,,281
1543751246,66,,282
1543751247,66,,283
1543751248,65,,284
1543751249,47,,285
1543751250,61,,286
1543751251,61,,287
1543751252,61,,288
1543751253,56,,289
1543751254,59,,290
1543751255,58,,291
1543751256,62,,292
1543751257,60,,293
1543751258,57,,294
1543751259,62,,295
1543751260,67,,296
1543751261,62,,297
1543751262,61,,298
1543751263,60,,299
1543751264,63,,300
1543751265,64,,301
1543751266,67,,302
1543751267,56,,303
1543751268,65,,304
1543751269,50,,305
1543751270,52,,306
1543751271,61,,307
1543751272,52,,308
1543751273,58,,309
1543751274,63,,310
1543751275,58,,311
1543751276,64,,312
1543751277,61,,313
1543751278,65,,314
1543751279,61,,315
1543751280,65,,316
1543751281,60,,317
1543751282,62,,318
1543751283,46,,319
1543751284,15,,320
1543751285,18,,321
1543751286,16,,322
1543751287,17,,323
1543751288,63,,324
1543751289,61,,325
1543751290,61,,326
1543751291,63,,327
1543751292,66,,328
1543751293,67,,329
1543751294,57,,330
1543751295,68,,331
1543751296,68,,332
1543751297,68,,333
1543751298,60,,334
1543751299,67,,335
1543751300,70,,336
1543751301,65,,337
1543751302,61,,338
1543751303,67,,339
1543751304,64,,340
1543751305,66,,341
1543751306,67,,342
1543751307,62,,343
1543751308,62,,344
1543751309,61,,345
1543751310,66,,346
1543751311,51,,347
1543751312,50,,348
1543751313,56,,349
1543751314,56,,350
1543751315,70,,351
1543751316,59,,352
1543751317,69,,353
1543751318,65,,354
1543751319,53,,355
1543751320,57,,356
1543751321,30,,357
1543751322,18,,358
1543751323,18,,359
1543751324,30,,360
1543751325,74,,361
1543751326,56,,362
1543751327,79,,363
1543751328,90,,364
1543751329,109,,365
1543751330,106,,366
1543751331,105,,367
1543751332,97,,368
1543751333,101,,369
1543751334,91,,370
1543751335,79,,371
1543751336,95,,372
1543751337,44,,373
1543751338,77,,374
1543751339,82,,375
1543751340,71,,376
1543751341,52,,377
1543751342,84,,378
1543751343,84,,379
1543751344,106,,380
1543751345,69,,381
1543751346,93,,382
1543751347,84,,383
1543751348,87,,384
1543751349,89,,385
1543751350,79,,386
1543751351,95,,387
1543751352,87,,388
1543751353,85,,389
1543751354,88,,390
1543751355,87,,391
1543751356,98,,392
1543751357,103,,393
1543751358,77,,394
1543751359,89,,395
1543751360,76,,396
1543751361,104,,397
1543751362,81,,398
1543751363,88,,399
1543751364,103,,400
1543751365,76,,401
1543751366,100,,402
1543751367,87,,403
1543751368,78,,404
1543751369,89,,405
1543751370,66,,406
1543751371,84,,407
1543751372,65,,408
1543751373,86,,409
1543751374,95,,410
1543751375,99,,411
1543751376,82,,412
1543751377,81,,413
1543751378,82,,414
1543751379,89,,415
1543751380,105,,416
1543751381,108,,417
1543751382,87,,418
1543751383,89,,419
1543751384,114,,420
1543751385,98,,421
1543751386,108,,422
1543751387,116,,423
1543751388,98,,424
1543751389,114,,425
1543751390,110,,426
1543751391,85,,427
1543751392,93,,428
1543751393,95,,429
1543751394,94,,430
1543751395,104,,431
1543751396,113,,432
1543751397,95,,433
1543751398,105,,434
1543751399,100,,435
1543751400,93,,436
1543751401,106,,437
1543751402,115,,438
1543751403,94,,439
1543751404,92,,440
1543751405,115,,441
1543751406,107,,442
1543751407,111,,443
1543751408,105,,444
1543751409,90,,445
1543751410,77,,446
1543751411,92,,447
1543751412,59,,448
1543751413,65,,449
1543751414,67,,450
1543751415,66,,451
1543751416,73,,452
1543751417,59,,453
1543751418,76,,454
1543751419,89,,455
1543751420,102,,456
1543751421,74,,457
1543751422,99,,458
1543751423,103,,459
1543751424,90,,460
1543751425,93,,461
1543751426,81,,462
1543751427,65,,463
1543751428,71,,464
1543751429,78,,465
1543751430,79,,466
1543751431,85,,467
1543751432,91,,468
1543751433,39,,469
1543751434,112,,470
1543751435,92,,471
1543751436,120,,472
1543751437,123,,473
1543751438,87,,474
1543751439,78,,475
1543751440,114,,476
1543751441,69,,477
1543751442,96,,478
1543751443,112,,479
1543751444,82,,480
1543751445,91,,481
1543751446,72,,482
1543751447,75,,483
1543751448,73,,484
1543751449,62,,485
1543751450,72,,486
1543751451,76,,487
1543751452,84,,488
1543751453,98,,489
1543751454,101,,490
1543751455,100,,491
1543751456,90,,492
1543751457,106,,493
1543751458,103,,494
1543751459,88,,495
1543751460,103,,496
1543751461,90,,497
1543751462,84,,498
1543751463,52,,499
1543751464,22,,500
1543751465,27,,501
1543751466,21,,502
1543751467,36,,503
1543751468,86,,504
1543751469,50,,505
1543751470,94,,506
1543751471,123,,507
1543751472,105,,508
1543751473,99,,509
1543751474,117,,510
1543751475,104,,511
1543751476,111,,512
1543751477,100,,513
1543751478,100,,514
1543751479,110,,515
1543751480,105,,516
1543751481,90,,517
1543751482,101,,518
1543751483,103,,519
1543751484,65,,520
1543751485,67,,521
1543751486,108,,522
1543751487,96,,523
1543751488,94,,524
1543751489,109,,525
1543751490,100,,526
1543751491,95,,527
1543751492,104,,528
1543751493,66,,529
1543751494,47,,530
1543751495,61,,531
1543751496,83,,532
1543751497,91,,533
1543751498,72,,534
1543751499,81,,535
